column_name,column_comment
orders,订单数
branch_no,营业部编号
is_rzrq,是否两融
is_rzrq,是否两融
mt_effective_lost,当月有效户流失数
mt_avgtimes,当月人均交易次数
mt_occur,当月净转入(市值)
mt_interest_rate,当月资金利差收入
effective,有效户数
total_asset,资产
total_asset,总资产
fund_asset,24年年初时点保证金余额
jj_balance,基金交易额
channel_own,渠道归属1-线上；0-线下
channel_name,开户渠道
up_std_month,标准有效户首次达标月份
new_client,新开客户数
amount_ths,同花顺销售额(新投顾有提佣，保留5小数)
channel_name,渠道名
new_client,新开客户数
stock_code,股票代码
open_account,开户数
month,月份
open_account,开户数
month,月份
offline,线下开户数
offline,线下开户数
channel_name,渠道名称
nickname,昵称
open_account_target_rate_10w,开户数全年目标达成率（10w）
stock_name,基金名称
phone,手机号码
nickname,昵称
nickname,昵称
nickname,昵称
zq_balance,全客群债券佣金余额
customer_account,客户账号
stock_code,产品代码
mt,月份
mt,月份
channel_name,开户渠道
channel_ce,渠道主体
fare_cost,后端佣金成本
payback_days,回本天数
cc_type,现金升佣
cc_type,现金升佣
cc_type,现金升佣
nick_name,昵称
advisor_name,投顾
fund_account,资金账户
hb_shares_bus_balance,沪B交易额
stock_account,股票账户
min_date,首次交易时间
product_name,产品名
amt,销售额
target_amount,年度目标任务金额
cur_amount,当月完成额
system_channel,渠道名称
total_debit,总负债
target_amount,年度目标任务金额
create_date,同步日期
active_user_lv2,11月LV2活动列表
registration_time,报名时间
seat_income,席位租赁业务收入
remark,备注
turnover_rate_1w,万元户流失率
new_ind_acc_dedup,新开个人户（去重后）
new_eff_acc_assets,新开有效户资产额
equity_pub_fund_sales,权益公募销售额
channel_own,渠道归属（1-线上；0-线下）
channel_own,渠道归属1-线上；0-线下
client_id,客户号
cc_type,类型
branch_name,营业部
tg_name,开发投顾
pay_time,签约日期
branch_no,营业部编码
stock_account,股票账户
turnover_rate_1w,万元户流失率
registration_time,报名时间
registration_time,报名时间
product_name,产品名称
nickname,昵称
exchange_type,交易场所
exchange_type,交易场所
curr_total_asset,总资产
branch_no,归属营业部
asset,资产（时点资产）
product_type,产品类型
platform_users,平台&投流开户数
branch_no_name,营业部
etf_fund_market_value,ETF基金名称
product_type,产品类型
etf_fund_market_value,ETF基金名称
new_acc_seq_cmpl_rate,新增户数序时完成率
deposit_no,线下上月非入金-入金
jj_balance,全客群基金佣金余额
hb_shares_bus_balance,沪B交易额
total_balance,交易额
open_date,开户日期
branch_name,营业部
branch_no,营业部no
phone_number,客户手机号
client_id,客户号
holder_name,姓名
asset_price,净值
live_name,直播名称
channel_lv1,一级渠道
ip,客户端分类维度
